path;rangegauss_i;rangegauss_f;rangeexp_i;rangeexp_f;saturationtype;saturationrange_i;saturationrange_f
L23_DBC:L1_NGC-DA;;;100;325;fit-es;0;100
L23_DBC:L6_BP;;;50;250;fit-ls;0;50
L23_LBC:L23_BP;;;125;225;fit-es;0;125
L4_MC:L6_MC;150;325;;;fit-es;0;125
L4_BP:L23_NBC;;;125;225;fit-es;0;125
L4_SBC:L4_ChC;125;250;;;fit-es;0;75
L5_TTPC2:L1_NGC-SA;;;0;350;;;
L5_TTPC2:L1_HAC;0;150;150;300;;;
L5_TTPC2:L1_SLAC;0;275;;;;;
L5_MC:L4_BP;;;125;225;fit-es;0;125
L5_BTC:L6_DBC;;;125;400;fit-es;0;125
L5_BP:L5_BTC;;;125;250;fit-es;0;125
L5_BP:L5_LBC;;;125;275;fit-es;0;125
L6_UTPC:L5_NGC;;;125;300;fit-es;0;125
L6_IPC:L5_NGC;;;175;350;fit-es;0;175
L6_BPC:L23_ChC;;;0;200;;;
L6_MC:L1_NGC-DA;;;125;400;fit-es;0;125
L6_BTC:L23_PC;;;125;275;fit-es;0;125
L6_BP:L6_MC;;;125;300;fit-es;0;125
L6_NGC:L6_BP;;;125;300;fit-es;0;125
L6_LBC:L23_DBC;0;200;200;325;;;
L6_LBC:L5_NGC;0;250;;;;;
L1_DAC:L23_BP;0;300;;;;;
L1_SLAC:L1_DLAC;;;125;225;fit-es;0;125
L23_BTC:L1_NGC-SA;25;225;;;fit-ls;0;25
L23_BTC:L5_SBC;0;175;175;325;;;
L23_BTC:L6_BTC;;;100;250;fit-ls;0;100
L23_BP:L23_MC;0;100;;;;;
L23_LBC:L4_ChC;;;125;300;fit-es;0;125
L23_NBC:L23_BP;100;275;;;fit-es;0;100
L23_SBC:L4_ChC;;;125;225;fit-es;0;125
L4_MC:L23_ChC;;;150;325;fit-es;0;150
L4_MC:L5_DBC;;;125;325;fit-es;0;125
L4_LBC:L6_BP;;;125;300;fit-es;0;125
L5_TTPC2:L1_DAC;0;275;;;;;
L5_TTPC2:L1_NGC-DA;0;275;;;;;
L5_UTPC:L6_NGC;0;300;;;;;
L5_NGC:L4_MC;;;0;175;;;
L5_LBC:L4_NGC;;;0;175;;;
L5_LBC:L6_BTC;;;150;325;fit-es;0;150
L5_NBC:L23_BTC;0;175;175;300;;;
L5_SBC:L4_BTC;0;175;;;;;
L6_TPC_L1:L23_NGC;0;150;150;400;;;
L6_TPC_L4:L4_DBC;;;125;400;fit-es;0;125
L6_TPC_L4:L6_NGC;;;125;400;fit-es;0;125
L6_UTPC:L23_NGC;;;100;275;fit-ls;0;100
L6_IPC:L4_ChC;0;325;;;;;
L6_MC:L4_ChC;0;250;;;;;
L6_BP:L6_BP;;;125;225;fit-es;0;125
L1_DLAC:L1_DAC;;;150;350;fit-ls;0;150
L23_BP:L23_PC;25;200;;;fit-ls;0;25
L23_BP:L4_PC;0;175;175;300;;;
L23_NBC:L4_DBC;;;125;225;fit-es;0;125
L4_NBC:L4_BTC;0;125;125;250;;;
L4_SBC:L23_MC;0;150;150;300;;;
L4_SBC:L23_BTC;0;150;150;275;;;
L4_ChC:L4_PC;;;125;400;fit-es;0;125
L4_ChC:L4_SP;;;125;400;fit-es;0;125
L5_TTPC1:L6_DBC;50;400;0;50;;;
L5_STPC:L6_BP;0;100;100;325;;;
L5_MC:L23_NGC;0;200;200;400;;;
L5_MC:L6_IPC;;;150;400;fit-es;0;150
L6_TPC_L4:L4_NBC;;;125;400;fit-es;0;125
L6_IPC:L23_BTC;0;400;;;;;
L6_BPC:L23_NBC;;;125;400;fit-es;0;125
L6_MC:L1_HAC;50;325;0;50;;;
L6_SBC:L5_LBC;0;150;150;325;;;
L1_NGC-SA:L1_SLAC;0;150;;;;;
L1_NGC-SA:L23_NGC;;;30;175;fit-ls;0;30
L1_HAC:L5_UTPC;0;325;;;;;
L1_DLAC:L1_DLAC;0;275;;;;;
L1_SLAC:L23_BTC;0;275;;;;;
L23_MC:L6_MC;0;200;;;;;
L23_DBC:L1_NGC-SA;0;150;;;;;
L23_NGC:L5_BTC;0;175;;;;;
L23_LBC:L5_SBC;0;275;;;;;
L23_LBC:L6_MC;;;100;350;fit-es;0;100
L4_MC:L5_BP;;;125;275;fit-es;0;125
L4_MC:L6_NBC;;;25;400;fit-ls;0;25
L4_DBC:L5_DBC;;;0;175;;;
L4_DBC:L5_ChC;;;0;175;;;
L4_BP:L23_LBC;0;250;;;;;
L4_BP:L4_SBC;;;25;175;fit-ls;0;25
L4_BP:L6_IPC;;;25;200;fit-ls;0;25
L4_NGC:L4_NBC;;;150;250;fit-es;0;150
L4_LBC:L6_SBC;0;225;;;;;
L4_NBC:L4_ChC;;;75;225;fit-es;0;75
L4_NBC:L6_SBC;;;30;225;fit-ls;0;30
L5_STPC:L4_ChC;0;175;175;400;;;
L5_MC:L6_BTC;0;250;;;;;
L5_MC:L6_DBC;0;300;;;;;
L5_BTC:L4_DBC;0;350;;;;;
L5_BP:L23_SBC;;;0;150;;;
L5_LBC:L4_ChC;;;100;400;fit-ls;0;100
L5_SBC:L23_LBC;0;225;;;;;
L6_TPC_L1:L4_BTC;0;350;;;fit-es;0;100
L6_IPC:L4_DBC;0;400;;;;;
L6_BTC:L5_SBC;0;175;;;;;
L6_DBC:L4_SS;0;350;;;;;
L6_BP:L5_ChC;0;225;;;;;
L1_DAC:L5_UTPC;;;175;375;fit-ls;0;175
L1_SLAC:L23_NBC;0;125;125;250;;;
L23_MC:L6_IPC;0;125;125;275;;;
L23_DBC:L23_ChC;50;225;0;50;;;
L23_LBC:L4_NBC;;;125;400;fit-es;0;125
L23_NBC:L1_NGC-DA;0;125;125;250;;;
L23_NBC:L1_NGC-SA;0;100;100;275;;;
L23_NBC:L1_SLAC;25;300;0;25;;;
L23_NBC:L4_LBC;0;150;150;300;;;
L4_PC:L4_DBC;;;0;400;;;
L4_PC:L4_NGC;25;400;25;25;;;
L4_PC:L5_DBC;;;0;400;;;
L4_PC:L5_NGC;;;0;400;;;
L4_BTC:L5_MC;;;100;275;fit-es;0;100
L4_DBC:L23_MC;0;275;;;;;
L4_DBC:L4_NBC;25;200;;;fit-ls;0;25
L4_LBC:L23_DBC;;;125;275;fit-es;0;125
L4_NBC:L4_DBC;25;275;;;fit-ls;0;25
L4_ChC:L4_SS;;;50;350;;0;50
L4_ChC:L5_TTPC1;75;400;;;fit-es;0;75
L5_TTPC1:L5_NGC;50;400;;;fit-es;0;50
L5_TTPC2:L23_ChC;100;400;;;fit-ls;0;100
L5_UTPC:L5_SBC;;;125;400;fit-es;0;125
L5_MC:L23_LBC;0;200;200;400;;;
L5_MC:L5_BP;;;150;275;fit-es;0;150
L5_BP:L4_SS;25;225;0;25;;;
L5_NGC:L6_TPC_L1;0;275;;;;;
L5_LBC:L5_BP;0;150;150;325;;;
L5_NBC:L23_LBC;;;150;325;fit-ls;0;150
L5_ChC:L6_IPC;;;150;400;fit-es;0;150
L6_TPC_L1:L23_MC;;;150;400;fit-ls;0;150
L6_TPC_L1:L23_LBC;;;175;400;fit-es;0;175
L6_IPC:L23_MC;;;175;400;fit-ls;0;175
L6_BPC:L6_DBC;;;0;400;;;
L6_BPC:L6_NGC;;;0;400;;;
