ConnType gsyn gsynStd decay decayStd use useStd dep depStd fac facStd s-types type
0 0.83 0.20 10.40 6.1 0.16 0.10 45 21 376 253 I1 IE
1 0.83 0.55 8.30 2.2 0.25 0.13 706 405 21 9 I2 II
3 0.91 0.61 10.40 6.1 0.16 0.10 45 21 376 253 I1 IE
4 0.91 0.61 8.30 2.2 0.25 0.13 706 405 21 9 I2 IE
5 0.91 0.61 6.44 1.7 0.32 0.14 144 80 62 31 I3 IE
8 0.75 0.32 8.30 2.2 0.25 0.13 706 405 21 9 I2 IE
9 0.75 0.32 8.30 2.2 0.30 0.08 1250 520 2 4 I2 IE
10 0.91 0.61 8.30 2.2 0.14 0.05 875 285 22 5 I2 IE
11 0.83 0.20 10.40 6.1 0.25 0.13 706 405 21 9 I3 IE
12 0.91 0.61 8.30 2.2 0.25 0.13 706 405 21 9 I2 IE
13 0.75 0.32 10.40 6.1 0.32 0.14 144 80 690 5 I2 IE
114 0.43 0.28 1.74 0.18 0.09 0.12 138 211 670 830 E1 EI
115 0.72 0.50 1.74 0.18 0.09 0.12 138 211 670 830 E1 EI
116 0.72 0.50 1.74 0.18 0.50 0.02 671 17 17 5 E2 EE
117 0.43 0.28 1.74 0.18 0.50 0.02 671 17 17 5 E2 EI
118 0.72 0.50 1.74 0.18 0.50 0.02 671 17 17 5 E2 EI
119 0.68 0.46 1.74 0.18 0.46 0.26 671 17 17 5 E2 EE
120 0.68 0.45 1.74 0.18 0.86 0.09 671 17 17 5 E2 EE
121 0.19 0.12 1.74 0.18 0.79 0.04 671 17 17 5 E2 EE
122 0.80 0.53 1.74 0.18 0.39 0.03 671 17 17 5 E2 EE
123 1.50 1.05 1.74 0.18 0.50 0.02 671 17 17 5 E2 EE
126 0.80 0.53 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
127 0.80 0.53 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
128 0.80 0.53 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
129 0.80 0.53 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
131 0.72 0.50 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
132 0.72 0.50 1.74 0.18 0.29 0.03 329 53 326 66 E3 EE
133 0.11 0.08 1.74 0.18 0.09 0.12 138 211 670 830 E1 EI
134 0.72 0.50 1.74 0.18 0.72 0.12 227 70 13 24 E2 EI
