Elapsed Time = 2:10.57, CPU Usage = 100%, CPU Time= 0.65, Job = 0
Elapsed Time = 1:07.31, CPU Usage = 100%, CPU Time= 0.51, Job = 501
Elapsed Time = 2:19.30, CPU Usage = 100%, CPU Time= 0.64, Job = 251
Elapsed Time = 1:23.14, CPU Usage = 100%, CPU Time= 0.64, Job = 771
Elapsed Time = 1:12.84, CPU Usage = 99%, CPU Time= 0.71, Job = 1
Elapsed Time = 1:37.55, CPU Usage = 100%, CPU Time= 0.53, Job = 502
Elapsed Time = 1:23.65, CPU Usage = 100%, CPU Time= 0.59, Job = 772
Elapsed Time = 1:35.61, CPU Usage = 100%, CPU Time= 0.63, Job = 2
Elapsed Time = 1:42.48, CPU Usage = 100%, CPU Time= 0.57, Job = 503
Elapsed Time = 0:50.32, CPU Usage = 100%, CPU Time= 0.67, Job = 3
Elapsed Time = 3:04.03, CPU Usage = 100%, CPU Time= 0.55, Job = 252
Elapsed Time = 1:35.56, CPU Usage = 99%, CPU Time= 0.65, Job = 773
Elapsed Time = 1:10.22, CPU Usage = 100%, CPU Time= 0.68, Job = 4
Elapsed Time = 1:38.79, CPU Usage = 100%, CPU Time= 0.61, Job = 774
Elapsed Time = 2:10.00, CPU Usage = 99%, CPU Time= 1.01, Job = 504
Elapsed Time = 1:12.39, CPU Usage = 100%, CPU Time= 0.57, Job = 5
Elapsed Time = 0:53.02, CPU Usage = 100%, CPU Time= 0.59, Job = 505
Elapsed Time = 2:53.41, CPU Usage = 100%, CPU Time= 0.62, Job = 253
Elapsed Time = 1:19.15, CPU Usage = 99%, CPU Time= 0.82, Job = 775
Elapsed Time = 0:42.18, CPU Usage = 101%, CPU Time= 0.66, Job = 506
Elapsed Time = 1:13.83, CPU Usage = 100%, CPU Time= 0.61, Job = 6
Elapsed Time = 0:41.93, CPU Usage = 101%, CPU Time= 0.64, Job = 507
Elapsed Time = 0:42.32, CPU Usage = 100%, CPU Time= 0.64, Job = 508
Elapsed Time = 1:40.82, CPU Usage = 100%, CPU Time= 0.64, Job = 7
Elapsed Time = 2:09.06, CPU Usage = 100%, CPU Time= 0.54, Job = 776
Elapsed Time = 0:43.22, CPU Usage = 100%, CPU Time= 0.66, Job = 509
Elapsed Time = 0:30.27, CPU Usage = 101%, CPU Time= 0.59, Job = 510
Elapsed Time = 3:11.52, CPU Usage = 100%, CPU Time= 0.64, Job = 254
Elapsed Time = 1:21.00, CPU Usage = 100%, CPU Time= 0.55, Job = 777
Elapsed Time = 0:29.80, CPU Usage = 101%, CPU Time= 0.64, Job = 511
Elapsed Time = 0:51.64, CPU Usage = 100%, CPU Time= 0.60, Job = 512
Elapsed Time = 2:21.44, CPU Usage = 99%, CPU Time= 1.01, Job = 8
Elapsed Time = 0:29.34, CPU Usage = 101%, CPU Time= 0.61, Job = 513
Elapsed Time = 1:40.55, CPU Usage = 100%, CPU Time= 0.59, Job = 778
Elapsed Time = 0:33.05, CPU Usage = 101%, CPU Time= 0.65, Job = 514
Elapsed Time = 1:09.80, CPU Usage = 100%, CPU Time= 0.68, Job = 9
Elapsed Time = 3:09.08, CPU Usage = 100%, CPU Time= 0.62, Job = 255
Elapsed Time = 1:09.88, CPU Usage = 100%, CPU Time= 0.58, Job = 10
Elapsed Time = 2:15.42, CPU Usage = 100%, CPU Time= 0.57, Job = 779
Elapsed Time = 2:09.44, CPU Usage = 100%, CPU Time= 0.60, Job = 515
Elapsed Time = 1:37.25, CPU Usage = 100%, CPU Time= 0.66, Job = 11
Elapsed Time = 2:53.48, CPU Usage = 99%, CPU Time= 0.88, Job = 256
Elapsed Time = 0:48.37, CPU Usage = 100%, CPU Time= 0.62, Job = 12
Elapsed Time = 2:03.88, CPU Usage = 100%, CPU Time= 0.58, Job = 780
Elapsed Time = 2:01.56, CPU Usage = 100%, CPU Time= 0.68, Job = 516
Elapsed Time = 1:53.63, CPU Usage = 100%, CPU Time= 0.63, Job = 13
Elapsed Time = 1:51.13, CPU Usage = 100%, CPU Time= 0.65, Job = 517
Elapsed Time = 1:59.77, CPU Usage = 100%, CPU Time= 0.59, Job = 781
Elapsed Time = 3:00.11, CPU Usage = 100%, CPU Time= 0.66, Job = 257
Elapsed Time = 1:04.25, CPU Usage = 100%, CPU Time= 0.59, Job = 14
Elapsed Time = 0:48.36, CPU Usage = 100%, CPU Time= 0.59, Job = 15
Elapsed Time = 1:47.03, CPU Usage = 100%, CPU Time= 0.60, Job = 782
Elapsed Time = 1:54.75, CPU Usage = 100%, CPU Time= 0.66, Job = 518
Elapsed Time = 1:07.65, CPU Usage = 100%, CPU Time= 0.60, Job = 16
Elapsed Time = 0:53.83, CPU Usage = 100%, CPU Time= 0.56, Job = 17
Elapsed Time = 2:56.48, CPU Usage = 100%, CPU Time= 0.68, Job = 258
Elapsed Time = 1:57.62, CPU Usage = 100%, CPU Time= 0.59, Job = 783
Elapsed Time = 1:53.39, CPU Usage = 100%, CPU Time= 0.80, Job = 519
Elapsed Time = 1:05.60, CPU Usage = 100%, CPU Time= 0.66, Job = 18
Elapsed Time = 0:43.43, CPU Usage = 100%, CPU Time= 0.55, Job = 19
Elapsed Time = 1:52.13, CPU Usage = 100%, CPU Time= 0.66, Job = 784
Elapsed Time = 2:09.05, CPU Usage = 100%, CPU Time= 0.61, Job = 520
Elapsed Time = 2:49.57, CPU Usage = 99%, CPU Time= 1.10, Job = 259
Elapsed Time = 1:11.98, CPU Usage = 100%, CPU Time= 0.69, Job = 20
Elapsed Time = 2:09.41, CPU Usage = 100%, CPU Time= 0.69, Job = 785
Elapsed Time = 1:16.15, CPU Usage = 99%, CPU Time= 0.83, Job = 21
Elapsed Time = 2:08.80, CPU Usage = 100%, CPU Time= 0.55, Job = 521
Elapsed Time = 3:27.65, CPU Usage = 99%, CPU Time= 0.66, Job = 260
Elapsed Time = 2:06.29, CPU Usage = 100%, CPU Time= 0.56, Job = 22
Elapsed Time = 2:10.25, CPU Usage = 100%, CPU Time= 0.72, Job = 786
Elapsed Time = 2:19.64, CPU Usage = 100%, CPU Time= 0.66, Job = 522
Elapsed Time = 1:36.98, CPU Usage = 99%, CPU Time= 0.68, Job = 23
Elapsed Time = 2:14.36, CPU Usage = 99%, CPU Time= 1.00, Job = 787
Elapsed Time = 1:00.39, CPU Usage = 100%, CPU Time= 0.63, Job = 24
Elapsed Time = 2:18.16, CPU Usage = 100%, CPU Time= 0.64, Job = 523
Elapsed Time = 2:48.68, CPU Usage = 100%, CPU Time= 0.64, Job = 261
Elapsed Time = 1:07.01, CPU Usage = 100%, CPU Time= 0.58, Job = 25
Elapsed Time = 2:12.45, CPU Usage = 100%, CPU Time= 0.60, Job = 788
Elapsed Time = 1:08.53, CPU Usage = 99%, CPU Time= 0.59, Job = 26
Elapsed Time = 2:09.95, CPU Usage = 99%, CPU Time= 0.65, Job = 524
Elapsed Time = 1:04.93, CPU Usage = 100%, CPU Time= 0.73, Job = 27
Elapsed Time = 3:20.67, CPU Usage = 100%, CPU Time= 0.62, Job = 262
Elapsed Time = 0:42.91, CPU Usage = 100%, CPU Time= 0.59, Job = 28
Elapsed Time = 2:15.05, CPU Usage = 99%, CPU Time= 0.93, Job = 789
Elapsed Time = 1:51.26, CPU Usage = 100%, CPU Time= 0.67, Job = 525
Elapsed Time = 0:47.60, CPU Usage = 100%, CPU Time= 0.58, Job = 29
Elapsed Time = 0:53.38, CPU Usage = 99%, CPU Time= 0.82, Job = 30
Elapsed Time = 1:47.90, CPU Usage = 100%, CPU Time= 0.72, Job = 526
Elapsed Time = 1:53.52, CPU Usage = 100%, CPU Time= 0.61, Job = 790
Elapsed Time = 0:37.74, CPU Usage = 101%, CPU Time= 0.63, Job = 31
Elapsed Time = 3:12.80, CPU Usage = 100%, CPU Time= 0.56, Job = 263
Elapsed Time = 1:03.78, CPU Usage = 100%, CPU Time= 0.59, Job = 32
Elapsed Time = 1:50.32, CPU Usage = 99%, CPU Time= 0.95, Job = 791
Elapsed Time = 1:53.29, CPU Usage = 100%, CPU Time= 0.61, Job = 527
Elapsed Time = 0:39.18, CPU Usage = 101%, CPU Time= 0.64, Job = 33
Elapsed Time = 1:30.74, CPU Usage = 100%, CPU Time= 0.64, Job = 34
Elapsed Time = 1:52.23, CPU Usage = 100%, CPU Time= 0.75, Job = 792
Elapsed Time = 1:56.31, CPU Usage = 100%, CPU Time= 0.58, Job = 528
Elapsed Time = 3:25.64, CPU Usage = 100%, CPU Time= 0.67, Job = 264
Elapsed Time = 0:52.72, CPU Usage = 100%, CPU Time= 0.57, Job = 35
Elapsed Time = 0:55.43, CPU Usage = 100%, CPU Time= 0.59, Job = 265
Elapsed Time = 1:50.91, CPU Usage = 99%, CPU Time= 0.83, Job = 529
Elapsed Time = 1:57.51, CPU Usage = 100%, CPU Time= 0.67, Job = 793
Elapsed Time = 0:51.94, CPU Usage = 100%, CPU Time= 0.61, Job = 266
Elapsed Time = 1:30.82, CPU Usage = 100%, CPU Time= 0.59, Job = 36
Elapsed Time = 1:07.09, CPU Usage = 100%, CPU Time= 0.66, Job = 37
Elapsed Time = 1:15.86, CPU Usage = 100%, CPU Time= 0.64, Job = 267
Elapsed Time = 1:50.30, CPU Usage = 100%, CPU Time= 0.54, Job = 794
Elapsed Time = 1:56.67, CPU Usage = 100%, CPU Time= 0.63, Job = 530
Elapsed Time = 1:17.92, CPU Usage = 100%, CPU Time= 0.53, Job = 268
Elapsed Time = 1:53.97, CPU Usage = 100%, CPU Time= 0.66, Job = 795
Elapsed Time = 0:56.93, CPU Usage = 100%, CPU Time= 0.61, Job = 269
Elapsed Time = 1:56.63, CPU Usage = 100%, CPU Time= 0.52, Job = 531
Elapsed Time = 2:35.43, CPU Usage = 100%, CPU Time= 0.68, Job = 38
Elapsed Time = 1:44.20, CPU Usage = 100%, CPU Time= 0.60, Job = 270
Elapsed Time = 1:59.27, CPU Usage = 100%, CPU Time= 0.60, Job = 796
Elapsed Time = 1:51.71, CPU Usage = 100%, CPU Time= 0.67, Job = 532
Elapsed Time = 1:49.63, CPU Usage = 100%, CPU Time= 0.64, Job = 39
Elapsed Time = 0:45.51, CPU Usage = 100%, CPU Time= 0.69, Job = 40
Elapsed Time = 1:11.99, CPU Usage = 100%, CPU Time= 0.63, Job = 271
Elapsed Time = 0:48.19, CPU Usage = 99%, CPU Time= 0.73, Job = 41
Elapsed Time = 1:52.35, CPU Usage = 100%, CPU Time= 0.64, Job = 797
Elapsed Time = 1:59.76, CPU Usage = 100%, CPU Time= 0.65, Job = 533
Elapsed Time = 1:19.14, CPU Usage = 100%, CPU Time= 0.58, Job = 272
Elapsed Time = 1:01.64, CPU Usage = 99%, CPU Time= 0.74, Job = 42
Elapsed Time = 0:27.15, CPU Usage = 101%, CPU Time= 0.69, Job = 43
Elapsed Time = 1:03.80, CPU Usage = 100%, CPU Time= 0.60, Job = 273
Elapsed Time = 1:52.10, CPU Usage = 100%, CPU Time= 0.59, Job = 798
Elapsed Time = 1:50.82, CPU Usage = 100%, CPU Time= 0.72, Job = 534
Elapsed Time = 0:36.23, CPU Usage = 101%, CPU Time= 0.63, Job = 274
Elapsed Time = 1:04.56, CPU Usage = 100%, CPU Time= 0.68, Job = 44
Elapsed Time = 0:56.87, CPU Usage = 100%, CPU Time= 0.62, Job = 45
