Elapsed Time = 0:02.89, CPU Usage = 171%, CPU Time= 1.10, Job = 0
Elapsed Time = 0:01.99, CPU Usage = 204%, CPU Time= 1.28, Job = 1
Elapsed Time = 0:02.67, CPU Usage = 175%, CPU Time= 1.24, Job = 2
Elapsed Time = 0:02.46, CPU Usage = 181%, CPU Time= 1.17, Job = 3
Elapsed Time = 0:02.37, CPU Usage = 188%, CPU Time= 1.32, Job = 4
Elapsed Time = 0:01.89, CPU Usage = 210%, CPU Time= 1.16, Job = 5
Elapsed Time = 0:01.95, CPU Usage = 205%, CPU Time= 1.24, Job = 6
Elapsed Time = 0:02.70, CPU Usage = 177%, CPU Time= 1.05, Job = 7
Elapsed Time = 0:03.01, CPU Usage = 169%, CPU Time= 1.28, Job = 8
Elapsed Time = 0:01.96, CPU Usage = 202%, CPU Time= 0.86, Job = 9
Elapsed Time = 0:02.13, CPU Usage = 191%, CPU Time= 0.73, Job = 10
Elapsed Time = 0:02.63, CPU Usage = 177%, CPU Time= 0.75, Job = 11
Elapsed Time = 0:02.22, CPU Usage = 185%, CPU Time= 0.95, Job = 12
Elapsed Time = 0:02.25, CPU Usage = 187%, CPU Time= 0.85, Job = 13
Elapsed Time = 0:02.38, CPU Usage = 180%, CPU Time= 0.82, Job = 14
Elapsed Time = 0:02.00, CPU Usage = 202%, CPU Time= 1.00, Job = 15
Elapsed Time = 0:02.36, CPU Usage = 187%, CPU Time= 1.06, Job = 16
Elapsed Time = 0:02.11, CPU Usage = 190%, CPU Time= 1.17, Job = 17
Elapsed Time = 0:02.62, CPU Usage = 177%, CPU Time= 1.29, Job = 18
Elapsed Time = 0:01.97, CPU Usage = 205%, CPU Time= 1.20, Job = 19
Elapsed Time = 0:02.06, CPU Usage = 200%, CPU Time= 1.25, Job = 20
Elapsed Time = 0:02.39, CPU Usage = 187%, CPU Time= 1.32, Job = 21
Elapsed Time = 0:02.51, CPU Usage = 183%, CPU Time= 1.31, Job = 22
Elapsed Time = 0:02.26, CPU Usage = 192%, CPU Time= 1.21, Job = 23
Elapsed Time = 0:01.88, CPU Usage = 211%, CPU Time= 1.29, Job = 24
Elapsed Time = 0:02.34, CPU Usage = 189%, CPU Time= 1.26, Job = 25
Elapsed Time = 0:02.34, CPU Usage = 189%, CPU Time= 1.22, Job = 26
Elapsed Time = 0:02.47, CPU Usage = 184%, CPU Time= 1.27, Job = 27
Elapsed Time = 0:01.97, CPU Usage = 203%, CPU Time= 1.15, Job = 28
Elapsed Time = 0:01.99, CPU Usage = 200%, CPU Time= 1.15, Job = 29
Elapsed Time = 0:01.91, CPU Usage = 207%, CPU Time= 1.21, Job = 30
Elapsed Time = 0:02.08, CPU Usage = 186%, CPU Time= 1.01, Job = 31
Elapsed Time = 0:01.96, CPU Usage = 203%, CPU Time= 1.23, Job = 32
Elapsed Time = 0:02.23, CPU Usage = 187%, CPU Time= 1.11, Job = 33
Elapsed Time = 0:02.60, CPU Usage = 173%, CPU Time= 1.13, Job = 34
Elapsed Time = 0:02.10, CPU Usage = 199%, CPU Time= 1.24, Job = 35
Elapsed Time = 0:02.65, CPU Usage = 176%, CPU Time= 1.20, Job = 36
Elapsed Time = 0:02.20, CPU Usage = 185%, CPU Time= 1.13, Job = 37
Elapsed Time = 0:03.41, CPU Usage = 146%, CPU Time= 1.01, Job = 38
